,word0,word1,word2,word3,word4,word5
0,black,latino,hispanic,biracial,young,scottish
1,haitian,integrating,international,competency,josef,makeup
2,jamaican,ghanian,alienation,luis,sciaccan,asian
3,dominican,northern,predominantly,mahershala,guatemalan,morocco
4,women,people,men,latinos,xhosa,defendants
5,chinese,protecting,gassed,taiwanese,donor,italian
6,protecting,bilingual,homeownership,chinese,yup,rohingya
7,gassed,mini,scraps,aneurysms,immensity,traditional
8,taiwanese,el,peninsular,chinese,verdean,lifting
9,donor,famed,chinese,ninja,heroes,somali
10,italian,african,queer,traditional,pilgrimage,audacious
